topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
topic104,andererseit,unterschied,bedeut,einerseit,wesent,gegenub,besond,gering,entwickl,erheb,insbesond,relativ,tatsach,betracht,einzeln,sowohl,daraus,verhaltnis,stellt,folg,eher,zunehm,verander,dah,einfluss,liegt,aufgrund,zusammenhang,allgemein,zeigt,gewicht,gegenwart,faktor,besteht,gleich,situation,mass,auswirk,dar,ahnlich,fuhrt,wid,bestimmt,verandert,gilt,gerad,vergleich,ergeb,hinsicht,innerhalb,betrachtet,weitgeh,bedeutet,fuhr,kommt,wobei,namlich,verschied,wert,lasst,gewiss,sicht,hintergrund,bzw,abhang,dadurch,beispiel,gegensatz,gesamt,durchaus,darin,anderen_seite,kaum,eindeut,somit,basis,verbund,aktuell,negativ,gleichzeit,wiederum,vielmehr,je,vergang,geseh,ubrig,zumind,richtung,begrenzt,wirkung,phas,folgend,beobacht,zeig,spiegelt,weist,erster_linie,vergleichbar,teilweis,unmittelbar
 ,0.017,0.017,0.014,0.012,0.011,0.011,0.011,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic105,gewerkschaft,streik,beschaftigt,arbeitgeb,arbeit,ver,di,otv,verhandl,dag,angebot,warnstreik,öffentlichen_dienst,gehalt,tarifverhandl,angestellt,abschluss,verdi,forder,arbeitskampf,tarifvertrag,hbv,verhandlungsfuhr,stund,lohn,haiti,tarifkonflikt,tarifrund,urabstimm,ergebnis,aristid,druck,erhoh,beginn,ausstand,bundesweit,fortgesetzt,ig_medien,vorsitz,verhandlungsrund,port,kompromiss,tarifabschluss,verkehr,dienstleistungsgewerkschaft,betroff,einkomm,mai,stuttgart,tarifstreit,prozent_mehr_lohn,öffentlichen_dienstes,schlicht,aktion,mitglied,beteiligt,transport,streikend,legt,au,dritt,princ,vertagt,arbeitszeit,arbeitsniederleg,tarifpartei,schlichtung,versicher,kundigt,aufgeruf,tarifkommission,lohnerhoh,öffentliche_dienste,vereinbart,laufzeit,million,bsirsk,haitian,einzelhandel,verlangt,gescheitert,einmalzahl,durchsetz,ford,iss,prozent_mehr_geld,erzielt,seit,nied,droht,viert,deutsche_angestellten,annaher,vorgelegt,tarif,gehaltserhoh,gewerkschaft_handel,erneut,samstag,druckindustri
 ,0.056,0.04,0.024,0.023,0.015,0.015,0.015,0.014,0.012,0.012,0.011,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic106,post,student,hochschul,universitat,brief,bonn,bafog,postbank,studium,wettbewerb,professor,paket,studiengebuhr,deutsche_post,bund,privat,dhl,erhalt,logist,express,zumwinkel,akadem,abschluss,deutschen_post,fachhochschul,ups,uni,fach,gebuhr,sem,gelb,kuhn,elit,studier,wurzburg,sendung,bundesweit,monopol,studiengang,zusatz,tnt,angebot,postdien,klaus_zumwinkel,rektor,zustell,wissenschaftsminist,gramm,bulmahn,ausbild,pin,staatlich,bislang,stell,absolvent,bleib,briefmonopol,geld,einfuhr,erheb,studienplatz,lang,bildung,leistung,sollt,mindest,botsch,forder,neb,gefordert,deutsche_post_ag,pro,gleichzeit,bewerb,allein,konkurrent,mast,liberalisier,unis,dien,zugleich,fedex,zweit,sech,innerhalb,flachendeck,herb,lehr,zud,studi,hrk,zunach,modell,empfang,paketdien,porto,statt,postreform,bildungspolit,wissenschaft
 ,0.069,0.036,0.026,0.022,0.015,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic107,ausland,osteuropa,ungarn,mittel,pol,slowakei,ungar,tschechi,budap,inland,slowak,grenz,westeuropa,aeg,besond,rumani,inzwisch,direktinvestition,gegenub,ost,bratislava,meciar,osteuropas,neb,westlich,bulgari,sloweni,interess,insbesond,mitteleuropa,gilt,vertret,durft,entwickl,national,ausserd,mind,bedeut,einheim,electrolux,nachbarland,ahnlich,beweg,kam,fuhrt,osterreich,zud,heimisch,laut,innerhalb,entsprech,offnung,gelt,trotz,gehort,beitritt,gehor,besteh,jung,folg,gesamt,zweit,lieg,allein,ausserhalb,reformstaat,darunt,jeweil,letzt,acht,sowohl,weitgeh,zusamm,zentral,dortig,obwohl,ostlich,sech,geword,bleib,ausländische_investoren,auslandsinvestition,forint,bislang,nachbarn,stellt,wobei,erheb,aufgenomm,ebenfall,steht,chanc,wesent,gefuhrt,osteuropäischen_ländern,verlager,wend,zuletzt,tschechischen_republik,weiterhin
 ,0.136,0.044,0.034,0.02,0.016,0.015,0.014,0.014,0.013,0.012,0.011,0.01,0.01,0.009,0.008,0.008,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic108,bush,washington,amerikan,clinton,republikan,demokrat,kongress,präsident_george,senat,präsident_bill_clinton,senator,amerika,bundesstaat,georg,weißen_haus,vereinigten_staaten,bill_clinton,weiße_haus,reprasentantenhaus,gouverneur,gor,washington_post,weißen_hauses,florida,amerikas,vizeprasident,red,kaliforni,aussenpolit,pentagon,präsident_bush,ortszeit,national,novemb,george_bush,kerry,dol,texas,powell,lewinsky,al_gore,york_times,präsident_george_bush,york,los_angeles,unterstutz,wahlkampf,administration,cheney,aussenministerium,starr,cnn,kampf,washington_us,präsident_clinton,bezieh,rubin,verbundet,konservativ,schwarzenegg,amerikanischen_präsidenten,nation,prasidentschaftskandidat,kennedy,freund,texan,edward,regierungsbeamt,innenpolit,vorwahl,botschaft,hillary_clinton,washington_die_usa,ronald_reagan,reagan,millionen_dollar,amtszeit,milliarden_dollar,bill,tim,burn,sicherheitsberat,monica,john_kerry,zz,haus,bob,glaub,prasidentschaft,anhor,gingrich,virginia,fuhrend,nixon,kongresswahl,plan,condoleezza_rice,außenminister_colin_powell,perot,arkansas
 ,0.081,0.073,0.068,0.042,0.024,0.023,0.022,0.015,0.013,0.012,0.011,0.011,0.01,0.009,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic109,millionen_dm,milliarden_dm,umsatz,ag,vorjahr,konz,ergebnis,stieg,million,geschaftsjahr,munch,gewinn,erhoht,erzielt,plus,eigener_bericht,vorstandsvorsitz,knapp,grupp,jahresuberschuss,teilt,beschaftigt,divid,milliard,verlust,vergangenen_jahr,gestieg,rechnet,erreicht,inland,neun,konzernumsatz,ertrag,gesteigert,sech,steig,mitarbeit,bereich,erstmal,ersten_halbjahr,verbessert,auftragseingang,trotz,milliarde_dm,vorstand,wuch,halbjahr,steigert,wachstum,leicht,sieb,kraftig,laufenden_jahr,steu,zweistell,eigenen_angaben,sank,unverandert,acht,zwolf,minus,betriebsergebnis,ging,klettert,aufgrund,betrug,erwirtschaftet,entfiel,jahres,nahm,betrag,positiv,elf,lieg,steiger,mio_euro,konzern,umsatzplus,spart,voraussicht,mio_dm,investition,weltweit,uberschuss,erlos,ausland,zufolg,mitteilt,erneut,tocht,mrd_dm,zuwach,gewachs,legt,rucklauf,verringert,gewöhnlichen_geschäftstätigkeit,verzeichnet,zahl_der_mitarbeiter,laufenden_geschäftsjahr
 ,0.086,0.073,0.036,0.026,0.017,0.016,0.014,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic110,entwickl,produkt,technisch,technik,kund,entwickelt,technologi,bereich,dienstleist,how,modern,know,beispiel,zukunft,schnell,innovation,system,qualitat,logist,einsatz,herstell,produktion,vorteil,kost,arbeit,beispielsweis,konzept,ingenieur,fertig,innovativ,entwickeln,zunehm,technolog,biet,nutz,zulief,leistung,anlag,elektron,gesamt,speziell,losung,bietet,kooperation,integriert,anforder,anwend,effizient,syst,verschied,lieferant,bedarf,komponent,komplett,kostengunst,wesent,maschin,stellt,eingesetzt,angebot,flexibl,neb,prozess,breit,trend,leistungsfah,herkomm,vorhand,aufbau,intelligent,wettbewerb,wettbewerbsfah,basis,besond,erfolg,zusammenarbeit,gleichzeit,besteh,setzt,flexibilitat,direkt,entsteh,erfolgreich,forschung,industriell,komplex,optimal,bedurfnis,benotigt,einfach,standort,bedeut,verfug,erschliess,einzeln,verbund,ermoglicht,unterschied,herausforder,einkauf
 ,0.017,0.016,0.014,0.012,0.011,0.01,0.01,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic111,schul,lehr,jugend,bildung,kind,elt,bess,lern,unterricht,jung,ausbild,sprach,beruf,sozial,pisa,alt,kultusminist,studi,gew,bildungspolit,klass,schlecht,kindergart,padagog,bundesland,wissenschaft,erzieh,besond,abitur,forder,fach,sollt,gemeinsam,bundesweit,ford,grundschul,gefordert,trag,jahrig,kmk,statt,arbeit,unterschied,zwolf,wiss,gymnasium,erwachs,einfuhr,schuljahr,kultur,schavan,les,leistung,kultusministerkonferenz,weiterbild,mathemat,zweit,hauptschul,oft,abschluss,ausgebildet,ganztagsschul,brauch,lang,madch,vorsitz,englisch,meist,ergebnis,zud,schreib,kopftuch,rechtschreibreform,stang,qualitat,einricht,chanc,ministerin,test,generation,stund,junge_menschen,stell,ausbau,lehrerin,unterrichtet,bildungssyst,haupt,allgemein,not,sech,viert,religionsunterricht,heisst,gleich,naturwissenschaft,beginn,kenntnis,unesco,teilnehm
 ,0.072,0.027,0.026,0.019,0.019,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic112,mess,branch,ausstell,verband,frankfurt,veranstalt,dusseldorf,besuch,ausland,herstell,industri,koln,maschinenbau,maschin,geschaftsfuhr,trend,cebit,vergangenen_jahr,erstmal,hannov,prasenti,zeig,fachmess,vdma,weltweit,eroffnet,export,hall,main,anlagenbau,produktion,anbiet,prasentiert,umsatz,firm,produkt,erwart,rechnet,inland,knapp,eroffn,vertret,vorjahr,kam,bereich,stand,million,weltgrosst,statt,nachfrag,quadratmet,messegeland,branchenverband,besond,messegesellschaft,textil,zeigt,schau,hannover_messe,fachbesuch,zvei,mod,elektrotechn,bedeut,neuheit,berichtet,handel,geschaft,leicht,angebot,neb,zunehm,stattfind,zufried,findet,leipzig,vorfeld,bundesverband,sech,diesjahr,jahrlich,schwerpunkt,fachverband,laut,gefragt,gezeigt,trotz,seh,textilindustri,impuls,munch,acht,bild,herb,gildemeist,rechn,gesamt,fuhrend,hofft,veranstaltet
 ,0.046,0.034,0.025,0.015,0.013,0.012,0.011,0.011,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001
topic113,argument,deshalb,klar,interess,diskussion,tatsach,sinn,offent,darf,recht,daran,falsch,debatt,richtig,thema,gar,uberhaupt,zweifel,warum,wer,eindruck,uberzeug,eben,wed,vollig,eigent,niemand,darum,gerad,verstand,vielmehr,tun,wirklich,durchaus,allein,meinung,lasst,sach,gefahr,natur,genau,versuch,erklar,gegenteil,schliesslich,letztlich,einfach,begrund,darub,antwort,nehm,eindeut,namlich,gegenub,gleich,grundsatz,rein,verhalt,keinesweg,stell,rechtfert,bedenk,folg,widerspruch,uberleg,gewiss,ohnehin,begriff,sicht,art,vernunft,zumind,behaupt,wiss,prinzip,versteh,verzicht,ernsthaft,solang,lang,besteht,selbstverstand,wirkung,spricht,derart,auseinandersetz,fuhrt,probl,handelt,verstandnis,sinnvoll,bewusst,darin,fakt,verhind,ubrig,allgemein,ebenso,stet,zeigt
 ,0.014,0.013,0.012,0.011,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic114,vw,porsch,volkswag,audi,wolfsburg,modell,konz,werk,golf,scania,autos,mark,fahrzeug,absatz,produktion,pischetsried,seat,verkauft,tocht,piëch,royc,skoda,auto,konzern,roll,bmw,lopez,ingolstadt,sech,autobau,volkert,verkauf,bernd_pischetsrieder,zud,volkswagen_ag,betriebsrat,bau,neb,gebaut,piech,knapp,fertig,hartz,laut,nutzfahrzeug,europas,lkw,munch,bislang,samuelsson,kommt,braunschweig,wag,stuttgart,vorstand,herstell,stuck,ferdinand_piëch,passat,band,fabrik,angebot,kaf,autoherstell,lieg,gelandewag,cayenn,polo,vorstandsvorsitz,woll,plan,motor,wendelin_wiedeking,einstieg,peter_hartz,ferdinand_piech,erreich,rupprecht,angekundigt,erstmal,mitarbeit,bentley,lauf,legt,ziel,zunach,ausserd,sportwag,lauft,bring,hart,personalvorstand,trotz,heisst,vick,sportwagenherstell,gesamt,herb,zusatz,osterloh
 ,0.105,0.029,0.029,0.02,0.02,0.015,0.014,0.011,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic115,uhr,stund,abend,morg,samstag,zunach,uberblick,nacht,maschin,minut,nachmittag,flugzeug,zuvor,sech,begonn,berichtet,zweit,letzt,gebracht,spat,beginn,mittag,vormittag,kam,nah,wochen,gekomm,geoffnet,acht,pilot,stand,hubschraub,bord,blieb,hiess,sieb,verlass,lang,gegeb,ging,mitternacht,danach,typ,dritt,begann,absturz,nachd,wollt,teilt,zwolf,unmittelbar,dauert,beendet,geschloss,richtung,unterbroch,flughaf,sofort,gestartet,unklar,fortgesetzt,meldet,getroff,anschliess,geflog,fernseh,offn,abschuss,landet,befand,feiertag,gelandet,entfernt,start,mesz,offenbar,neun,abgeschoss,pressekonferenz,genau,moglicherweis,zwischenfall,zeitpunkt,unterbrech,flug,flieg,abgesturzt,ungluck,rpt,zahlreich,innerhalb,vermut,dau,normal,nahm,bestatigt,luftraum,landung,sollt,gemeldet
 ,0.051,0.047,0.034,0.029,0.028,0.018,0.015,0.014,0.012,0.011,0.011,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic116,japan,tokio,yen,fuhrend,ldp,nikkei,mitsubishi,angesicht,marz,milliarden_yen,bill,nippon,april,hashimoto,billionen_yen,asi,asiat,koizumi,durft,gegenub,gegenwart,of,massiv,finanzministerium,erstmal,gerechnet,bank,ledig,ausland,daneb,ga,weiterhin,corp,folg,tokiot,bislang,liberaldemokrat,erneut,zweitgrosst,sumitomo,knapp,fiskaljahr,sieb,drastisch,jung,gleichzeit,ntt,kommend,securiti,obuchi,co,tokyo,nomura,septemb,umgerechnet,ausweit,ebenfall,kam,miyazawa,hierzu,junichiro_koizumi,zud,finanzminist,bisher,japanische_regierung,nachd,trotz,massgeb,industri,amerikan,mori,abe,faul,hierbei,neb,insbesond,shimbun,niveau,entwickl,fuhrt,juli,laufend,fernost,offent,ryutaro,zug,tokios,weltweit,anhalt,offiziell,zuvor,gilt,schwach,sogar,ende_märz,hosokawa,osaka,inseln,zweit,fuhr
 ,0.199,0.048,0.029,0.01,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001
topic117,welt,zukunft,chanc,gemeinsam,bess,erfolg,vision,strategi,seh,alt,europas,erfolgreich,schaff,gerad,blick,herausforder,vergang,schnell,deshalb,allein,ide,steht,richtig,nutz,best,brauch,jena,bring,zeig,braucht,ziel,entwickeln,klar,bedeut,jenopt,beispiel,daran,perspektiv,setz,lang,denk,tun,bleib,biet,liegt,zeigt,global,wirklich,gleich,verandert,glaub,find,uberzeugt,darum,schritt,gewinn,wandel,langfrist,kommt,erfahr,konzept,zweit,gemacht,uberzeug,geword,stell,vorstell,bald,bild,vertrau,natur,such,richtung,vorbild,wert,vorn,uberall,miteinand,genug,interess,verand,and,sorg,breit,gehort,beweg,aufgab,entwickelt,unterschied,bedeutet,zeiss,einzig,voll,enorm,jahrzehnt,fuhr,schott,dau,realitat,zusamm
 ,0.083,0.035,0.018,0.013,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic118,fahr,lkw,verkehr,strass,kilomet,maut,autobahn,transrapid,autofahr,auto,fahrzeug,streck,lastwag,verkehrsminist,autos,fahrt,kfz,einfuhr,pkw,steu,wissmann,bundesverkehrsminist,pro,adac,transport,lang,unfall,stolp,grenz,schien,spediteur,toll_collect,tuv,technisch,ausbau,bau,verbind,verkehrspolit,km,tempolimit,erheb,bund,tonn,syst,minist,fahrverbot,tempo,kost,tunnel,verkehrsministerium,matthias_wissmann,stund,diesel,eurotunnel,strassenverkehr,projekt,spedition,jahrlich,schnell,start,bruck,schwer,mineralolsteu,wag,konsortium,manfred_stolpe,bodew,bundesverkehrsministerium,grenzwert,betreib,belast,promill,buss,million,ozon,zusatz,vignett,guterverkehr,gebuhr,luft,umwelt,magnetschwebebahn,bundesregier,entsprech,ministerium,fuhrerschein,ausserd,benutz,staus,einnahm,geschwind,tank,last,alternativ,katalysator,dekra,benzin,stau,gefahr,laut
 ,0.02,0.018,0.015,0.015,0.014,0.014,0.014,0.013,0.01,0.01,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
